diaObjectId,dec,ra,g_psfFluxErrMean,g_psfFluxLinearSlope,g_psfFluxMAD,g_psfFluxMax,g_psfFluxMean,g_psfFluxMeanErr,g_psfFluxMin,g_psfFluxNdata,g_psfFluxSigma,g_psfFluxStetsonJ,g_psfFluxChi2
579577936487655698,-71.94417806058034,6.474053386005559,317.97,,0.0,1601.818359375,1601.818359375,317.97021484375,1601.818359375,1.0,,,0.0
614437609048903212,-24.81743888724397,95.32879967671306,,,,,,,,,,,
611254522886494521,-28.0879786731953,52.79806343717374,,,,,,,,,,,
630406709772298093,-10.268288752508932,106.01465449241687,,,,,,,,,,,
609788186691895652,-28.517925389169843,53.2505062094595,,,,,,,,,,,
592913157106699584,-48.91650986455848,59.43494849720512,,,,,,,,,,,
630405953858046231,-10.35781934357896,106.27935449385708,,,,,,,,,,,
611253492094337486,-28.222616322030333,53.770206516157465,,,,,,,,,,,
630406572333336473,-10.1893300687608,106.36465460273409,,,,,,,,,,,
592916043324719555,-48.297886599245714,58.85130054998934,168.21,,0.0,-905.0233764648438,-905.0234375,168.21011352539062,-905.0233764648438,1.0,,,1.31661e-13
611254454167013994,-28.07605390579731,53.03866767935898,,,,,,,,,,,
579578073926602348,-71.84148803821954,5.444405365633269,287.602,242.7755816435839,350.747,2484.0712890625,1378.2291259765625,128.58807373046875,-1548.2349853515625,5.0,1648.0970094841402,2.7900998197587126,127.451
592912538631406530,-49.07356168382776,59.18072566065193,,,,,,,,,,,
592913088387221477,-48.90456569834189,59.68255171153816,,,,,,,,,,,
614435684903552190,-25.231181438630994,95.03292449521723,,,,,,,,,,,
628767818971618318,-10.82306064832088,106.2797240202157,737.952,,0.0,3823.53271484375,3823.532470703125,737.9519653320312,3823.53271484375,1.0,,,1.09452e-13
614430462223320431,-24.8422553762336,94.54020956751427,,,,,,,,,,,
604062823487636715,-34.69043271048741,39.62015220073323,,,,,,,,,,,
630406022577522055,-10.387295259686335,106.07647668170266,212.295,22.674628095311814,80.0231,1266.41552734375,1188.2374267578125,150.0856170654297,1106.3692626953125,2.0,113.16979903648698,-0.8460767975860146,0.284133
630405816419092137,-10.374165896621546,106.58073693561646,217.531,,0.0,1141.2996826171875,1141.2996826171875,217.53050231933594,1141.2996826171875,1.0,,,0.0
628769193361156535,-10.567454542817131,106.30431811816175,153.947,,0.0,849.0970458984375,849.0970458984375,153.94680786132812,849.0970458984375,1.0,,,0.0
579575393867005976,-72.49179596590402,5.1394180797544395,758.302,3621.2154857868954,9458.78,26439.857421875,11216.5400390625,377.3292541503906,-4893.1220703125,4.0,13292.559661187539,15.171947352168946,997.35
630407465686534392,-10.039660742039523,105.87272550104827,,,,,,,,,,,
628762527571909998,-10.444506065948953,106.0029993425157,,,,,,,,,,,
579577936487647867,-71.84628654079224,6.564773093199335,286.945,,0.0,-1559.3201904296875,-1559.3201904296875,286.9453125,-1559.3201904296875,1.0,,,0.0
648372111294857643,6.631941991741518,38.17264044705551,,,,,,,,,,,
611254385447540501,-28.1298177539957,53.131396683895616,153.818,,0.0,793.5792236328125,793.5792236328125,153.8175048828125,793.5792236328125,1.0,,,0.0
579578142646076728,-71.97658226088414,4.8689867927077355,378.5,,0.0,-2329.31787109375,-2329.31787109375,378.500244140625,-2329.31787109375,1.0,,,0.0
630405816419095560,-10.363335109655475,106.66217720847781,,,,,,,,,,,
592914531496238376,-48.55986323063705,59.29400472424302,,,,,,,,,,,
579577455451308950,-72.13478146563166,5.03110949095925,273.166,,0.0,1551.6602783203125,1551.66015625,273.16607666015625,1551.6602783203125,1.0,,,1.99695e-13
611255278800734144,-27.9919149366431,52.553501311566286,144.059,,0.0,754.9388427734375,754.9388427734375,144.05853271484375,754.9388427734375,1.0,,,0.0
628769949275390215,-10.458129953794083,106.25885665982683,,,,,,,,,,,
630407259528105571,-10.159690522347859,106.37215999831041,,,,,,,,,,,
630406022577532975,-10.341934236871142,106.11901173004618,,,,,,,,,,,
611255691117598848,-27.708994927162742,53.45073366285211,,,,,,,,,,,
630406709772297691,-10.264284590691576,106.05232522998095,,,,,,,,,,,
612929835009835962,-25.354229500664864,95.28458302764841,139.992,,0.0,692.334716796875,692.334716796875,139.99188232421875,692.334716796875,1.0,,,0.0
628761840377148542,-10.56198549952861,106.08377786230758,,,,,,,,,,,
